"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties"
"CHEMBL4103852";"";"0";"469.59";"1";"5.45";"11d";"O=c1c2c3c(sc2ncn1Cc1ccc2ccccc2c1)CC(NCc1ccccc1F)CC3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4081638";"";"0";"511.65";"2";"5.32";"16a";"COc1ccccc1CNC1CCc2c(sc3ncn(Cc4c(OC)ccc5ccccc45)c(=O)c23)C1";"IC50";"'='";"2240.0";"nM";"5.65";"";"";"UO_0000065";"11.04";"0.21";"0.33";"8.64";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4095132";"";"0";"453.57";"0";"4.10";"19e";"O=c1c2c3c(sc2ncn1Cc1cccc2cccnc12)CC(NCc1cccnc1)CC3";"IC50";"'='";"2920.0";"nM";"5.54";"";"";"UO_0000065";"12.20";"0.23";"1.43";"7.61";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4099006";"";"0";"453.57";"0";"4.10";"22d";"O=c1c2c3c(sc2ncn1Cc1ccc2ccccc2c1)CC(NCc1cncnc1)CC3";"IC50";"'='";"5300.0";"nM";"5.28";"";"";"UO_0000065";"11.63";"0.22";"1.18";"7.26";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4093322";"";"0";"463.61";"0";"3.51";"27f";"COc1ccccc1Cn1cnc2sc3c(c2c1=O)CCC(NCc1c(C)nn(C)c1C)C3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4068464";"";"0";"496.64";"1";"5.43";"29i";"Cc1noc(C)c1CNC1CCc2c(sc3ncn(Cc4cccc(-c5ccccc5)c4)c(=O)c23)C1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL420311";"";"0";"248.71";"0";"2.73";"Selisistat";"NC(=O)C1CCCc2c1[nH]c1ccc(Cl)cc21";"IC50";"'='";"1420.0";"nM";"5.85";"";"";"";"23.51";"0.47";"3.12";"9.93";"False";"CHEMBL4685955";"Inhibition of human N-terminal His-tagged SIRT2 (56 to 356 residues) expressed in Escherichia coli using Ac-Arg-Leu-Ile-Lys(Ac)-AMC as substrate preincubated for 10 mins followed by substrate addition and measured after 30 mins in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680222";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"TIME = 0.6667 hr"
"CHEMBL429433";"";"0";"367.24";"1";"5.35";"8l";"Cc1ccc2c3c(ccc2c1)OC(=O)CC3c1cccc(Br)c1";"IC50";"'='";"9800.0";"nM";"5.01";"";"";"UO_0000065";"13.64";"0.30";"-0.34";"19.04";"False";"CHEMBL934433";"Inhibition of human recombinant Sirt2 expressed in Escherichia coli BL21 by fluorescent deacetylase assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143139";"1";"Scientific Literature";"J. Med. Chem.";"2008";"None";""
"CHEMBL2152595";"";"0";"269.30";"0";"2.49";"15";"CC(=O)Nc1ccc(Nc2ccccc2C(N)=O)cc1";"IC50";"'='";"77000.0";"nM";"4.11";"";"";"UO_0000065";"15.27";"0.28";"1.62";"4.88";"False";"CHEMBL2156443";"Inhibition of human recombinant SIRT2 using Fluor de Lys-SIRT as substrate incubated for 60 mins prior to substrate addition measured after 60 mins by fluorimetric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150931";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL224864";"";"0";"434.28";"1";"6.35";"3, AGK2";"N#C/C(=C\c1ccc(-c2cc(Cl)ccc2Cl)o1)C(=O)Nc1cccc2ncccc12";"IC50";"'='";"3500.0";"nM";"5.46";"";"";"UO_0000065";"12.56";"0.25";"-0.89";"6.91";"True";"CHEMBL2156443";"Inhibition of human recombinant SIRT2 using Fluor de Lys-SIRT as substrate incubated for 60 mins prior to substrate addition measured after 60 mins by fluorimetric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2150931";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL380797";"SIRTINOL";"0";"394.47";"1";"5.79";"2, sirtinol";"CC(NC(=O)c1ccccc1/N=C/c1c(O)ccc2ccccc12)c1ccccc1";"IC50";"'='";"53000.0";"nM";"4.28";"";"";"UO_0000065";"10.84";"0.19";"-1.51";"6.93";"True";"CHEMBL909821";"Inhibition of human recombinant SIRT2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1137294";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL1945134";"";"0";"669.28";"1";"3.69";"17";"CN(C)CCOCCOCCOCCOCCOCC(=O)Nc1ccc(NC(=S)NC(=O)c2ccc(C(C)(C)C)cc2)cc1.Cl";"IC50";"'>'";"90000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL1947692";"Inhibition of recombinant human SitT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944602";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL1945136";"";"0";"477.07";"0";"4.44";"30a";"CCCc1ccc(C(=O)NC(=S)Nc2ccc(NC(=O)CCCCN(C)C)cc2)cc1.Cl";"IC50";"'='";"7850.0";"nM";"5.11";"";"";"UO_0000065";"11.59";"0.22";"0.67";"6.95";"False";"CHEMBL1947692";"Inhibition of recombinant human SitT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944602";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL1945670";"";"0";"449.02";"0";"3.79";"30p";"Cc1ccccc1C(=O)NC(=S)Nc1ccc(NC(=O)CCCCN(C)C)cc1.Cl";"IC50";"'='";"42500.0";"nM";"4.37";"";"";"UO_0000065";"10.60";"0.21";"0.58";"5.95";"False";"CHEMBL1947692";"Inhibition of recombinant human SitT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1944602";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2012";"None";""
"CHEMBL220458";"";"0";"449.36";"1";"5.64";"2";"Cc1ncc(CSc2ccccc2/N=C/c2cc(Cl)cc(Cl)c2O)c(CO)c1O";"IC50";"'='";"74300.0";"nM";"4.13";"";"";"UO_0000065";"9.19";"0.19";"-1.51";"4.80";"False";"CHEMBL908196";"Inhibition of SIRT2";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138228";"1";"Scientific Literature";"J. Med. Chem.";"2006";"None";""
"CHEMBL470972";"";"0";"393.46";"0";"3.57";"15";"CC(C)(NC(=O)/C=C/c1ccc(F)cc1)C(=O)NCCc1c[nH]c2ccccc12";"IC50";"'='";"105000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL970634";"Inhibition of recombinant GST-tagged SIRT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139425";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL2171201";"";"0";"270.29";"0";"2.25";"3d";"CCCCn1c(=O)nc2oc3ccccc3cc-2c1=O";"IC50";"'='";"30800.0";"nM";"4.51";"";"";"UO_0000065";"16.69";"0.31";"2.26";"6.93";"False";"CHEMBL2176207";"Inhibition of human recombinant SIRT2 expressed in Escherichia coli cells using acetylated Lys side chain amino acids 379-382 (Arg-His-Lys-Lys(Ac)) p53 conjugated with aminomethylcoumarin as substrate by fluorescence assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2169828";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL2164023";"";"0";"248.32";"0";"3.61";"1h";"CCCCCC1CC(=O)c2cc(OC)ccc2O1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL2167131";"Inhibition of human recombinant GST-tagged SIRT2 preincubated for 5 mins measured after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163190";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL2164011";"";"0";"333.65";"0";"4.87";"4, 96:4 diastereomeric mixture";"CCCCCC1CC(O)c2cc(Cl)cc(Br)c2O1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL2167131";"Inhibition of human recombinant GST-tagged SIRT2 preincubated for 5 mins measured after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2163190";"1";"Scientific Literature";"J. Med. Chem.";"2012";"None";""
"CHEMBL472516";"";"0";"361.45";"0";"3.04";"12";"C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)NCCc1c[nH]c2ccccc12";"IC50";"'='";"109000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL970634";"Inhibition of recombinant GST-tagged SIRT2 by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139425";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2008";"None";""
"CHEMBL584353";"";"0";"413.54";"0";"4.03";"25";"CC(=S)NCCCC[C@H](NC(=O)OCc1ccccc1)C(=O)Nc1ccccc1";"IC50";"'='";"15000.0";"nM";"4.82";"";"";"UO_0000065";"11.66";"0.23";"0.79";"6.07";"False";"CHEMBL1839553";"Inhibition of recombinant GST-tagged SIRT2 after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL1835307";"";"0";"423.54";"0";"1.51";"23";"CC(=S)NCCCC[C@H](NC(=O)CCc1ccccc1O)C(=O)N[C@@H](C)C(=O)O";"IC50";"'='";"53000.0";"nM";"4.28";"";"";"UO_0000065";"10.10";"0.20";"2.77";"3.35";"False";"CHEMBL1839553";"Inhibition of recombinant GST-tagged SIRT2 after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL1835299";"";"0";"275.37";"0";"0.01";"15";"CC(=S)NCCCC[C@H](N)C(=O)N[C@@H](C)C(=O)O";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"20.70";"0.43";"5.69";"5.46";"False";"CHEMBL1839554";"Inhibition of recombinant GST-tagged SIRT2 at 200 uM after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL1835301";"";"0";"414.53";"0";"0.18";"17";"CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCCNC(C)=S)C(=O)N[C@@H](C)C(=O)O";"IC50";"'='";"31000.0";"nM";"4.51";"";"";"UO_0000065";"10.88";"0.22";"4.33";"3.53";"False";"CHEMBL1839553";"Inhibition of recombinant GST-tagged SIRT2 after 1 hr by Fluor de Lys-based fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1833937";"1";"Scientific Literature";"J. Med. Chem.";"2011";"None";""
"CHEMBL1253859";"";"0";"422.50";"0";"-1.61";"79";"COC(=O)[C@H](C)NC(=O)[C@H](CCCCNS(C)(=O)=O)NC(=O)[C@H](C)NC(C)=O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL1252002";"Inhibition of GST-SIRT2 after 1 hr by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250463";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL1253858";"";"0";"415.49";"0";"-0.88";"78";"COC(=O)[C@H](C)NC(=O)[C@H](CCCCNC(=O)N(C)C)NC(=O)[C@H](C)NC(C)=O";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL1252002";"Inhibition of GST-SIRT2 after 1 hr by Fluor de Lys fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1250463";"1";"Scientific Literature";"Bioorg. Med. Chem.";"2010";"None";""
"CHEMBL569449";"";"0";"463.94";"1";"5.72";"4";"O=C1Nc2c(ccc(Cl)c2Cl)/C1=C/c1cc(Br)c(O)c(Br)c1";"IC50";"'='";"28400.0";"nM";"4.55";"";"";"UO_0000065";"9.80";"0.28";"-1.17";"9.22";"False";"CHEMBL1047027";"Inhibition of human recombinant N-terminally 6X-His-tagged SIRT2 after 4 hrs in presence of NAD+ by fluorescent deacetylase assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156803";"1";"Scientific Literature";"J. Med. Chem.";"2010";"None";""
"CHEMBL3236132";"";"0";"375.48";"0";"4.37";"25";"NC(=O)c1ccccc1Nc1cccc(-c2cn(CCC3CCCC3)nn2)c1";"IC50";"'='";"570.0";"nM";"6.24";"";"";"UO_0000065";"16.63";"0.30";"1.87";"7.27";"False";"CHEMBL4613334";"Inhibition of sirtuin 2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4613203";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";""
"CHEMBL2332044";"";"0";"405.52";"0";"2.92";"15a";"CC(C)(C)OC(=O)NCCC1CCN(c2ncnc3cc(C(N)=O)sc23)CC1";"IC50";"'='";"5.4";"nM";"8.27";"";"";"UO_0000065";"20.39";"0.40";"5.35";"7.49";"False";"CHEMBL2341151";"Inhibition of His-tagged SIRT2 (1 to 389) (unknown origin)-mediated deacetylation of Ac-RHKKAcW-NH2 substrate incubated for 20 mins prior to substrate addition measured after 30 mins by mass spectrophotometric analysis";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331260";"1";"Scientific Literature";"J. Med. Chem.";"2013";"None";""
"CHEMBL4070026";"";"0";"506.63";"2";"5.19";"15a";"COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NCc1ccc(C#N)cc1)C3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4099809";"";"0";"481.62";"1";"5.32";"16b";"COc1ccccc1CNC1CCc2c(sc3ncn(Cc4cccc5ccccc45)c(=O)c23)C1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4087180";"";"0";"457.62";"1";"5.37";"30d";"O=c1c2c3c(sc2ncn1Cc1ccc2ccccc2c1)CC(NCc1cccs1)CC3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4094191";"";"0";"471.67";"1";"6.08";"34b";"O=c1c2c3c(sc2ncn1Cc1cccc2ccccc12)CC(NCCC1CCCCC1)CC3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4079293";"";"0";"468.58";"1";"5.03";"35e";"COc1ccccc1NC1CCc2c(sc3ncn(Cc4cccc5cccnc45)c(=O)c23)C1";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4063820";"";"0";"481.60";"1";"6.28";"40i";"O=c1c2c3c(sc2ncn1Cc1cccc(-c2ccccc2)c1)CC(Nc1ccc(F)cc1)CC3";"IC50";"";"";"";"";"";"Not Determined";"";"";"";"";"";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4091606";"";"0";"459.62";"1";"5.06";"41a";"COc1ccc2ccccc2c1Cn1cnc2sc3c(c2c1=O)CCC(NC1CCCC1)C3";"IC50";"'='";"1180.0";"nM";"5.93";"";"";"UO_0000065";"12.90";"0.25";"0.87";"10.56";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
"CHEMBL4072955";"";"0";"457.60";"0";"4.65";"45f";"COc1ccccc1Cn1cnc2sc3c(c2c1=O)CCC(NC1CCc2ccccc21)C3";"IC50";"'='";"16320.0";"nM";"4.79";"";"";"UO_0000065";"10.46";"0.20";"0.14";"8.53";"False";"CHEMBL4005585";"Inhibition of recombinant human C-terminal His-tagged SIRT2 (50 to 389 end residues) expressed in Escherichia coli using p53 derived (379 to 382 residues) fluorogenic peptide substrate RHKK(Ac)-AMC preincubated for 10 mins followed by substrate addition in presence of NAD+ by fluorescence assay";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL4462";"NAD-dependent deacetylase sirtuin 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4004822";"1";"Scientific Literature";"J Med Chem";"2017";"None";""
